author,pubmed_id
Aurore Labourel,30877196
Aurore Labourel,29377002
Aurore Labourel,26959085
Aurore Labourel,26801613
Aurore Labourel,26193423
Ausra Peciulyte,29946356
Ausra Peciulyte,33004835
Ausra Peciulyte,25093270
Avani B Patel,25644118
Avizit Das,32217134
Awadhesh Prajapati,35576020
Axel A Brakhage,34126770
Axel Niebisch,32398257
Axel Niebisch,34411561
Axelle Bouder,31088618
Ayaka Motoyama,31688961
Ayan Roy,35568757
Ayat Hatem,24223817
Ayushi Agrawal,33176229
Ayushi Agrawal,33749248
Ayyappa Kumar Sista Kameshwar,28123349
Ayyappa Kumar Sista Kameshwar,29928466
Ayyappa Kumar Sista Kameshwar,30123665
Ayyappa Kumar Sista Kameshwar,32128279
Azharuddin Nizamuddin,35576020
B Aramini,23841811
B Barker,28348446
B Burzynski,3569016
B Cretin,17764360
B Djafari-Rouhani,15244795
B Gramberg-Danielsen,10427535
B H Weber,9206726
B Hecart,11570757
B Henrissat,29057953
B Henrissat,22243654
B Henrissat,28348446
B J Stielow,28348446
B M Blossom,31745843
B M Blossom,33292428
B Martin Hällberg,26151670
B Möllers,30976324
B N Kampalath,3569016
B Pilgaard,28403817
B Piranda,11570757
B Rodoni,31014247
B S Chadha,27341464
B Therrien,18352579
B van Oort,33292428
B van Oort,35531517
B van Oort,30976324
B Vecchiarelli,27242715
Badri S Rajagopal,34240737
Bagdevi Mishra,29334897
Bahareh Nahidian,33723900
Bahia Rached,34447652
Bahig A El-Deep,19284165
Bai-Xiong Chen,34399517
Balázs Bálint,33538380
Balendu Shekher Giri,34000697
Baljit Kaur,27341464
Baljit Kaur,32244131
Baljit Kaur,35318142
Baljit Kaur,27744242
Bang Feng,34767630
Bangmin Yin,31837260
Bao Khanh Vu,35528656
Bao-Kai Cui,35330313
Baogui Xie,23554925
Baoli Zhu,34795385
Baolong Liu,32098800
Baoping Qu,26813984
Baoshan Chen,34948367
Baptiste Lheraud,31174468
Baptiste Thomas,28220903
Barbara Blanco-Ulate,25232357
Barbara Blanco-Ulate,33082973
Barbara Danneels,26285758
Barbara Danneels,30238672
Barbara Danneels,28338903
Barbara Danneels,28562644
Barrington Herman,24386157
Barry Goodell,27590806
Barry Goodell,32670241
Barry Goodell,34322098
Barry Goodell,33315957
Barry Hon Cheung Wong,22952861
Barry J Make,23953956
Barry S Goodell,26583519
Barsha Kalita,35470778
Bart Devreese,26285758
Bartłomiej M Kołaczkowski,34939126
Bastien Bissaro,29901989
Bastien Bissaro,31656228
Bastien Bissaro,34319813
Bastien Bissaro,28086105
Bastien Bissaro,29138240
Bastien Bissaro,29222333
Bastien Bissaro,29498832
Bastien Bissaro,29971843
Bastien Bissaro,30061931
Bastien Bissaro,30257993
Bastien Bissaro,30514757
Bastien Bissaro,30578267
Bastien Bissaro,30923566
Bastien Bissaro,30947104
Bastien Bissaro,31532909
Bastien Bissaro,31907317
Bastien Bissaro,31932718
Bastien Bissaro,32060276
Bastien Bissaro,33188177
Bastien Bissaro,33837197
Bastien Bissaro,34827630
Bastien Bissaro,34918344
Bastien Bissaro,28846668
Bastien Bissaro,34613753
Bastien Bissaro,30076256
Bayu Dume,33711736
Beatrice Cobucci-Ponzano,20427274
Beatrice Cobucci-Ponzano,30446550
Beatrice Cobucci-Ponzano,31595646
Beatrice Cobucci-Ponzano,32899230
Beatriz Medeiros Travália,33000321
Beatriz Noriega-Ortega,30116038
Becky Hochstein,20635162
Bei Liu,31998266
Bei Wang,31483848
Beibei Chen,34226407
Beibei Li,34973546
Ben Venmans,33971963
Benedict Bostock,35604096
Benedikt M Blossom,31603264
Benedikt M Blossom,33675751
Benedikt M Blossom,34999190
Benedikt M Blossom,35531517
Benedikt M Blossom,33712158
